Player,C,PO,A,E,FLD%,DP,SBA,CSB,SBA%,PB,CI
"Blair, Lexie",13,12,0,1,0.923,0,0,0,0,0,0
"Jimenez, Julia",41,26,12,3,0.927,4,0,0,0,0,0
"Bump, Taylor",48,27,20,1,0.979,1,0,0,0,0,0
"Allan, Lou",53,46,5,2,0.962,5,0,0,0,0,0
"Rodriguez, Kaylee",0,0,0,0,0,0,0,0,0,0,0
"Esman, Lauren",0,0,0,0,0,0,0,0,0,0,0
"Kersten, Sierra",27,21,6,0,1,0,0,0,0,0,0
"Carson, Hannah",238,224,12,2,0.992,2,27,8,0.771,2,0
"LeClair, Audrey",0,0,0,0,0,0,0,0,0,0,0
"Hoogenraad, Haley",11,11,0,0,1,0,0,0,0,0,0
"Gonzalez, Thais",7,7,0,0,1,0,0,0,0,0,0
"Rodriguez, Natalia",38,23,13,2,0.947,5,0,0,0,0,0
"Beaubien, Meghan",9,2,7,0,1,0,16,5,0.762,0,0
"Dennis, Chandler",0,0,0,0,0,0,0,0,0,0,0
"Schaefer, Sarah",0,0,0,0,0,0,1,0,1,0,0
"Storako, Alex",4,0,4,0,1,0,13,4,0.765,0,0
"Tholl, Keke",14,13,1,0,1,0,3,1,0.75,0,0
"Voss, Lexi",7,7,0,0,1,0,0,0,0,0,0
